中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
违宪	違憲	unconstitutional	wei2 xian4	constitutional	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1620	tw-judicial-b7d83a4fffe505b39eab	OGDL-Taiwan-1.0	source_attributed			
违法及失职	違法及失職	illegal or delinquent	wei2 fa3 ji2 shi1 zhi2	unclassified	待核查	TW	unclassified	行政訴訟及懲戒廳		tw-judicial:1618	tw-judicial-bea3762861ef81672540	OGDL-Taiwan-1.0	source_attributed			
违法行为	違法行為	illegal conduct	wei2 fa3 xing2 wei2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1619	tw-judicial-4e6c94fff8ef81262c7f	OGDL-Taiwan-1.0	source_attributed			
违约责任	違約責任	liability for breach of contract	wei2 yue1 ze2 ren4	contracts	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	责任形式并不限于赔钱，也可包括继续履行或采取补救措施。	oll-cn-core:cn-liability-breach	cn-liability-breach	CC-BY-4.0	project_authored	不履行合同义务或履行不符合约定时承担的继续履行、补救、赔偿等责任。	项目释译，非官方译文；breach 在此限定为合同义务违反。	中华人民共和国民法典（2020） 第577条 https://www.court.gov.cn/zixun/xiangqing/233181.html
违约金	違約金	agreed damages for breach	wei2 yue1 jin1	contracts	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	低于损失或过分高于损失时，法院或仲裁机构可依法应请求调整；迟延履行违约金不当然替代履行。	oll-cn-core:cn-agreed-damages	cn-agreed-damages	CC-BY-4.0	project_authored	当事人预先约定违约时应支付的金额，或者据约定方法计算的赔偿金额。	项目释译，非官方译文；不强行等同其他法域 liquidated damages 与 penalty 的分类。	中华人民共和国民法典（2020） 第585条 https://www.court.gov.cn/zixun/xiangqing/233181.html
违警罚法	違警罰法	Act Governing the Punishment of Police Offences	wei2 jing3 fa2 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1621	tw-judicial-0bc52bbe1fb79f4375d9	OGDL-Taiwan-1.0	source_attributed			
连带责任保证	連帶責任保證	joint and several guarantee	lian2 dai4 ze2 ren4 bao3 zheng4	contracts,finance	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	债务人不履行到期债务等情形发生时，债权人可请求保证人在其保证范围内承担责任。	oll-cn-core:cn-joint-several-guarantee	cn-joint-several-guarantee	CC-BY-4.0	project_authored	约定保证人与债务人就债务承担连带责任的保证方式。	项目释译，非官方译文；与一般保证分列，不以英文 guarantee 单独推断责任方式。	中华人民共和国民法典（2020） 第688条 https://www.court.gov.cn/zixun/xiangqing/233181.html
连接的	連接的	joint	lian2 jie1 de5	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:330	tw-tipo-trademark-99aa180cd614bba89d29	OGDL-Taiwan-1.0	source_attributed			
连续三年未使用	連續三年未使用	nonuse for three consecutive years	lian2 xu4 san1 nian2 wei4 shi3 yong4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:588	tw-tipo-trademark-0931975795b169c73992	OGDL-Taiwan-1.0	source_attributed			
迫在眉睫的危险	迫在眉睫的危險	imminent danger	po4 zai4 mei2 jie2 de5 wei1 xian3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:959	tw-judicial-60e82864b07de31790d5	OGDL-Taiwan-1.0	source_attributed			
迷惑的、骗人的、虚伪的、欺诈的	迷惑的、騙人的、虛偽的、欺詐的	deceptive		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:129	tw-tipo-trademark-83a4a7ced1ef8aa13462	OGDL-Taiwan-1.0	source_attributed			
追加预算	追加預算	Additional Budget	zhui1 jia1 yu4 suan4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1107	tw-judicial-d47b0677a6f3df3b2447	OGDL-Taiwan-1.0	source_attributed			
追认	追認	ratification	zhui1 ren4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1110	tw-judicial-abb9730c9e3e48a492c8	OGDL-Taiwan-1.0	source_attributed			
追诉时效	追訴時效	limitation period of prosecution	zhui1 su4 shi2 xiao4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1108	tw-judicial-5faf9924a3de7de4e4f5	OGDL-Taiwan-1.0	source_attributed			
追诉权	追訴權	power to prosecute	zhui1 su4 quan2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1109	tw-judicial-921b203a0eb393ea8e26	OGDL-Taiwan-1.0	source_attributed			
退休	退休	Retirement	tui4 xiu1	unclassified	待核查	TW	unclassified	人事處		tw-judicial:1097	tw-judicial-c1c1a55ec489494cb1b1	OGDL-Taiwan-1.0	source_attributed			
退休俸及生活补助费人员自行就任公职支领待遇注意事项	退休俸及生活補助費人員自行就任公職支領待遇注意事項	Precautionary Matters on Payment of Compensation to Those Who after Receipt of Pension or Living Subsidy Voluntarily Resume Public Service	tui4 xiu1 feng4 ji2 sheng1 huo2 bu3 zhu4 fei4 ren2 yuan2 zi4 xing2 jiu4 ren4 gong1 zhi2 zhi1 ling3 dai4 yu4 zhu4 yi4 shi4 xiang4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1101	tw-judicial-167aaa5e434d662f6cc8	OGDL-Taiwan-1.0	source_attributed			
退休公务人员退休金优惠存款办法	退休公務人員退休金優惠存款辦法	Regulations Governing the Favorable Interest for Pension of Retired Public Functionaries	tui4 xiu1 gong1 wu4 ren2 yuan2 tui4 xiu1 jin1 you1 hui4 cun2 kuan3 ban4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1098	tw-judicial-4ccbd6fb7bce2f3b89f8	OGDL-Taiwan-1.0	source_attributed			
退休金	退休金	pension	tui4 xiu1 jin1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1099	tw-judicial-8a56578faf3c7cba8d5b	OGDL-Taiwan-1.0	source_attributed			
退休金其他现金给与补偿金	退休金其他現金給與補償金	supplementary compensation for pension and other cash benefits	tui4 xiu1 jin1 qi2 ta1 xian4 jin1 ji3 yu3 bu3 chang2 jin1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1100	tw-judicial-4376bfcda4cb46c30f36	OGDL-Taiwan-1.0	source_attributed			
退学或类此之处分行为	退學或類此之處分行為	discharge or similar action	tui4 xue2 huo4 lei4 ci3 zhi1 chu3 fen4 xing2 wei2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1103	tw-judicial-aa591e6f79b9a8fd6e5e	OGDL-Taiwan-1.0	source_attributed			
退税	退稅	tax refund	tui4 shui4	tax	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1102	tw-judicial-a0ab06f80dd679b1520b	OGDL-Taiwan-1.0	source_attributed			
退职	退職	discharge	tui4 zhi2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1104	tw-judicial-cb4e454e4f595312fcdb	OGDL-Taiwan-1.0	source_attributed			
退费	退費	arrange a refund	tui4 fei4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:39	tw-tipo-trademark-b87405ba9dab9d48bf82	OGDL-Taiwan-1.0	source_attributed			
送达	送達	Service of Process	song4 da2	unclassified	待核查	TW	unclassified	行政訴訟及懲戒廳		tw-judicial:1096	tw-judicial-0637f4d204c52a5c17bf	OGDL-Taiwan-1.0	source_attributed			
适当、妥当、正当、得体	適當、妥當、正當、得體	propriety		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:450	tw-tipo-trademark-dee495d9a60f799bb017	OGDL-Taiwan-1.0	source_attributed			
适用	適用	application	shi4 yong4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1860	tw-judicial-364cf5ad83ebef79612a	OGDL-Taiwan-1.0	source_attributed			
适用法律错误;适用法律显有错误;适用法规错误;适用法规显有错误	適用法律錯誤;適用法律顯有錯誤;適用法規錯誤;適用法規顯有錯誤	clearly erroneous in the application of law; apparent erroneous application of provisions of law		unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1861	tw-judicial-1c832402e7afcd16bf2a	OGDL-Taiwan-1.0	source_attributed			
适用法规显有错误	適用法規顯有錯誤	apparent error in law / clearly erroneous in the application of law	shi4 yong4 fa3 gui1 xian3 you3 cuo4 wu4	unclassified	待核查	TW	unclassified	民事廳		tw-judicial:1862	tw-judicial-ae8e1bfcb7abe173db82	OGDL-Taiwan-1.0	source_attributed			
逃漏税	逃漏稅	tax evasion	tao2 lou4 shui4	tax	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1105	tw-judicial-ba04610519ec0a46f657	OGDL-Taiwan-1.0	source_attributed			
逃漏税款	逃漏稅款	tax evasion	tao2 lou4 shui4 kuan3	tax	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1106	tw-judicial-17ca11afc80ee9f6c29f	OGDL-Taiwan-1.0	source_attributed			
选举	選舉	election	xuan3 ju3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1928	tw-judicial-654d76aad5fac59e1e0b	OGDL-Taiwan-1.0	source_attributed			
选定当事人	選定當事人	Selection of Parties	xuan3 ding4 dang1 shi4 ren2	unclassified	待核查	TW	role	行政訴訟及懲戒廳		tw-judicial:1926	tw-judicial-0c622b8b521e80c4be58	OGDL-Taiwan-1.0	source_attributed			
选择自由	選擇自由	freedom of choice	xuan3 ze2 zi4 you2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1927	tw-judicial-ed5e8253acf6460ea9d1	OGDL-Taiwan-1.0	source_attributed			
透明	透明	transparency	tou4 ming2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1363	tw-judicial-8f750e9457e4f27c1380	OGDL-Taiwan-1.0	source_attributed			
递补	遞補	replacement of vacant seat	di4 bu3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1771	tw-judicial-c7a733d45553b8ab04ad	OGDL-Taiwan-1.0	source_attributed			
通体判断原则	通體判斷原則	global assessment	tong1 ti3 pan4 duan4 yuan2 ze2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:257	tw-tipo-trademark-4d5014e794eb66d19203	OGDL-Taiwan-1.0	source_attributed			
通奸	通姦	adultery	tong1 jian1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1357	tw-judicial-10b42953bb1abaad9dd0	OGDL-Taiwan-1.0	source_attributed			
通用名称	通用名稱	generic	tong1 yong4 ming2 cheng1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:253	tw-tipo-trademark-860f6d2e5b95a046088f	OGDL-Taiwan-1.0	source_attributed			
通知书	通知書	notification	tong1 zhi1 shu1	unclassified	待核查	TW	document	憲法法庭書記廳		tw-judicial:1356	tw-judicial-75ef5c0ed566f9e066c5	OGDL-Taiwan-1.0	source_attributed			
通知函	通知函	action	tong1 zhi1 han2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:9	tw-tipo-trademark-48dd999a0d79c96b1c73	OGDL-Taiwan-1.0	source_attributed			
通缉资料室	通緝資料室	Data of Wanted Persons Room	tong1 ji1 zi1 liao4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1358	tw-judicial-a3141f6fa3f703acc72e	OGDL-Taiwan-1.0	source_attributed			
通译	通譯	Interpreter	tong1 yi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1359	tw-judicial-31bb076512ecdadb3f7e	OGDL-Taiwan-1.0	source_attributed			
通译、录音、卷证传递席	通譯、錄音、卷證傳遞席	Interpreter, recording, and passing the documents/evidence		unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1360	tw-judicial-df357a9861bfbb88884e	OGDL-Taiwan-1.0	source_attributed			
通译室	通譯室	Court Interpreter Office	tong1 yi4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1361	tw-judicial-a971646a1cb0c09837b2	OGDL-Taiwan-1.0	source_attributed			
速记员	速記員	Stenographer	su4 ji4 yuan2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1362	tw-judicial-8a20d0a816591fc2a3bb	OGDL-Taiwan-1.0	source_attributed			
逮捕拘禁	逮捕拘禁	arrest and detain	dai4 bu3 ju1 jin4	criminal	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1504	tw-judicial-4d3c13fdaf1ba0184909	OGDL-Taiwan-1.0	source_attributed			
逾期申报	逾期申報	late declaration	yu2 qi1 shen1 bao4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1624	tw-judicial-7aaf36d275461dd8e066	OGDL-Taiwan-1.0	source_attributed			
道路交通安全规则	道路交通安全規則	Regulations Governing Road Traffic Safety	dao4 lu4 jiao1 tong1 an1 quan2 gui1 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1612	tw-judicial-843eb4883213d8624208	OGDL-Taiwan-1.0	source_attributed			
道路交通安全讲习	道路交通安全講習	traffic safety lesson	dao4 lu4 jiao1 tong1 an1 quan2 jiang3 xi2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1613	tw-judicial-78b5b31044d156325eac	OGDL-Taiwan-1.0	source_attributed			
道路交通管理	道路交通管理	road traffic regulation	dao4 lu4 jiao1 tong1 guan3 li3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1614	tw-judicial-7cac50034eb7b2542b73	OGDL-Taiwan-1.0	source_attributed			
道路交通管理处罚条例	道路交通管理處罰條例	Road Traffic Management and Penalty Act	dao4 lu4 jiao1 tong1 guan3 li3 chu3 fa2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1615	tw-judicial-9c138a01cb60860e990e	OGDL-Taiwan-1.0	source_attributed			
遗产	遺產	estate of a deceased person	yi2 chan3	family	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	依法或依性质不得继承的财产不能继承；应注意与他人财产的区分。	oll-cn-core:cn-estate	cn-estate	CC-BY-4.0	project_authored	自然人死亡时遗留的个人合法财产。	项目释译，非官方译文；estate 在其他语境还可指地产，本词限定继承语境。	中华人民共和国民法典（2020） 第1122条 https://www.court.gov.cn/zixun/xiangqing/233181.html
遗产	遺產	decedent's estate	yi2 chan3	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1929	tw-judicial-71372bab5c5d36694394	OGDL-Taiwan-1.0	source_attributed			
遗产上权利	遺產上權利	right to the estate	yi2 chan3 shang4 quan2 li4	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1930	tw-judicial-d20afbc7bef698b1cfac	OGDL-Taiwan-1.0	source_attributed			
遗产价值	遺產價值	value of the estate	yi2 chan3 jia4 zhi2	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1935	tw-judicial-10d497acbb99deef06dc	OGDL-Taiwan-1.0	source_attributed			
遗产及赠与税法	遺產及贈與稅法	Estate and Gift Tax Act	yi2 chan3 ji2 zeng4 yu3 shui4 fa3	family,tax	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1931	tw-judicial-78f9dad52ea384645da3	OGDL-Taiwan-1.0	source_attributed			
遗产及赠与税法施行细则	遺產及贈與稅法施行細則	The Enforcement Rules of the Estate and Gift Tax Act	yi2 chan3 ji2 zeng4 yu3 shui4 fa3 shi1 xing2 xi4 ze2	family,tax	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1932	tw-judicial-9a7cf1c24a724f112b35	OGDL-Taiwan-1.0	source_attributed			
遗产税	遺產稅	estate tax; inheritance tax	yi2 chan3 shui4	family,tax	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1933	tw-judicial-a4ba833ef4e881a05bb4	OGDL-Taiwan-1.0	source_attributed			
遗产税法	遺產稅法	Estate Tax Act	yi2 chan3 shui4 fa3	family,tax	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1934	tw-judicial-978aa17ccf3951762d37	OGDL-Taiwan-1.0	source_attributed			
遗属利益	遺屬利益	survivor's benefits	yi2 shu3 li4 yi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1936	tw-judicial-9c299a036e02ae10f263	OGDL-Taiwan-1.0	source_attributed			
遗属津贴	遺屬津貼	survivor allowance	yi2 shu3 jin1 tie1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1937	tw-judicial-ae67749017fd7c2ba34e	OGDL-Taiwan-1.0	source_attributed			
遴选	遴選	election	lin2 xuan3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1925	tw-judicial-bd29f35dac0e8a6ff938	OGDL-Taiwan-1.0	source_attributed			
避免、防止	避免、防止	preclude		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:419	tw-tipo-trademark-f65886fcb34d25475607	OGDL-Taiwan-1.0	source_attributed			
避免混淆	避免混淆	preclude confusion	bi4 mian3 hun4 xiao2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:420	tw-tipo-trademark-a944438fc0b6c9beb7ec	OGDL-Taiwan-1.0	source_attributed			
避免紧急危难	避免緊急危難	to avert an imminent crisis	bi4 mian3 jin3 ji2 wei1 nan4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1997	tw-judicial-f664efc72dc011abd62b	OGDL-Taiwan-1.0	source_attributed			
邮件损失补偿	郵件損失補償	indemnity for loss of mails	you2 jian4 sun3 shi1 bu3 chang2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1506	tw-judicial-fc97d76d50a25c89cfe1	OGDL-Taiwan-1.0	source_attributed			
邮政事业	郵政事業	postal services	you2 zheng4 shi4 ye4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1507	tw-judicial-4a09c1d9c98c3200b308	OGDL-Taiwan-1.0	source_attributed			
邮政储金汇业局	郵政儲金匯業局	Directorate General of Postal Remittances and Saving Bank	you2 zheng4 chu3 jin1 hui4 ye4 ju2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1511	tw-judicial-370828e65d9ab353ce9d	OGDL-Taiwan-1.0	source_attributed			
邮政机关	郵政機關	postal administration	you2 zheng4 ji1 guan1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1510	tw-judicial-b8697ed35c6f3dca358e	OGDL-Taiwan-1.0	source_attributed			
邮政法	郵政法	Postal Act	you2 zheng4 fa3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1508	tw-judicial-944bd30af2cd95f52f10	OGDL-Taiwan-1.0	source_attributed			
邮政规则	郵政規則	Rules Governing the Administration of Post Offices	you2 zheng4 gui1 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1509	tw-judicial-d34689b52442afe1d10d	OGDL-Taiwan-1.0	source_attributed			
部分	部分	portion (+of)	bu4 fen4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:415	tw-tipo-trademark-e8d24d1f3af7e652e171	OGDL-Taiwan-1.0	source_attributed			
都市计划	都市計畫	urban planning	du1 shi4 ji4 hua4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1364	tw-judicial-34e0bafb50652f09d6a8	OGDL-Taiwan-1.0	source_attributed			
都市计划公共实施用地多目标方案	都市計畫公共實施用地多目標方案	Multi-Purpose Plans for Reserved Public Use Land under Urban Planning	du1 shi4 ji4 hua4 gong1 gong4 shi2 shi1 yong4 di4 duo1 mu4 biao1 fang1 an4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1365	tw-judicial-e2ecdeae6e05f20e2cb9	OGDL-Taiwan-1.0	source_attributed			
都市计划桩测定及管理办法	都市計劃樁測定及管理辦法	Regulations Governing the Surveying and Administration of Urban Planning Monuments	du1 shi4 ji4 hua4 zhuang1 ce4 ding4 ji2 guan3 li3 ban4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1368	tw-judicial-2e165e1ea208d740cc57	OGDL-Taiwan-1.0	source_attributed			
都市计划法	都市計畫法	Urban Planning Law	du1 shi4 ji4 hua4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1367	tw-judicial-f961f9597b5c02b51367	OGDL-Taiwan-1.0	source_attributed			
都市计划用地	都市計畫用地	land reserved for urban planning use	du1 shi4 ji4 hua4 yong4 di4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1366	tw-judicial-e92642e6b1bfc7ecb179	OGDL-Taiwan-1.0	source_attributed			
配偶	配偶	spouse	pei4 ou3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1111	tw-judicial-a8a11110312a19159727	OGDL-Taiwan-1.0	source_attributed			
采尿室	採尿室	Urine Sample Gathering Room	cai3 niao4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1270	tw-judicial-3b5b87f3150052400dde	OGDL-Taiwan-1.0	source_attributed			
采验尿液	採驗尿液	Urine sample gathering	cai3 yan4 niao4 ye4	unclassified	待核查	TW	unclassified	少年及家事廳		tw-judicial:1271	tw-judicial-a12b9373bc4659f4277a	OGDL-Taiwan-1.0	source_attributed			
重复处罚	重複處罰	double punishment	chong2 fu4 chu3 fa2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:967	tw-judicial-8b09c083e5b06c24ca50	OGDL-Taiwan-1.0	source_attributed			
重复追诉	重複追訴	double jeopardy	chong2 fu4 zhui1 su4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:966	tw-judicial-c089b6e951ed4bf73d50	OGDL-Taiwan-1.0	source_attributed			
重大变故	重大變故	severe calamity	zhong4 da4 bian4 gu4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:961	tw-judicial-faadbed302611e6ca057	OGDL-Taiwan-1.0	source_attributed			
重大明显瑕疵	重大明顯瑕疵	clearly and grossly flawed	zhong4 da4 ming2 xian3 xia2 ci1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:960	tw-judicial-39932ec7db1af7324c41	OGDL-Taiwan-1.0	source_attributed			
重大误解	重大誤解	material mistake	zhong4 da4 wu4 jie3	civil,contracts	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	第一百四十七条规定请求法院或仲裁机构撤销；不要直接把它记为当然无效。	oll-cn-core:cn-material-mistake	cn-material-mistake	CC-BY-4.0	project_authored	对实施民事法律行为具有重要影响的误解，可成为请求撤销该行为的事由。	项目释译，非官方译文；material 在此指重大或重要，不是物质。	中华人民共和国民法典（2020） 第147条 https://www.court.gov.cn/zixun/xiangqing/233181.html
重婚; 重婚（行为）	重婚; 重婚（行為）	bigamy		family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:963	tw-judicial-86ddbeae2b37ed3e29d1	OGDL-Taiwan-1.0	source_attributed			
重婚者	重婚者	bigamous	chong2 hun1 zhe3	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:964	tw-judicial-5e5ac02533488e53ae85	OGDL-Taiwan-1.0	source_attributed			
重婚（婚姻）	重婚（婚姻）	bigamous marriage		family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:962	tw-judicial-f15c6fd7a0c02c034577	OGDL-Taiwan-1.0	source_attributed			
重新审理	重新審理	DE NOVO TRIAL	chong2 xin1 shen3 li3	unclassified	待核查	TW	unclassified	行政訴訟及懲戒廳		tw-judicial:965	tw-judicial-a07b2d78b7ef17db1a6f	OGDL-Taiwan-1.0	source_attributed			
野生动物保育法	野生動物保育法	Wildlife Conservation Act	ye3 sheng1 dong4 wu4 bao3 yu4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1369	tw-judicial-d67ed7bc21f124eb7dd5	OGDL-Taiwan-1.0	source_attributed			
金融机构	金融機構	financial institution	jin1 rong2 ji1 gou4	finance	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:842	tw-judicial-97cef1295e5592e142c2	OGDL-Taiwan-1.0	source_attributed			
金融机构监管接管办法	金融機構監管接管辦法	Regulations Governing the Supervision and Taking-Over of Financial Institutions	jin1 rong2 ji1 gou4 jian1 guan3 jie1 guan3 ban4 fa3	finance	待核查	TW	statute	憲法法庭書記廳		tw-judicial:843	tw-judicial-fb8d1710b10fa746aaee	OGDL-Taiwan-1.0	source_attributed			
金钱给付	金錢給付	monetary payment	jin1 qian2 ji3 fu4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:844	tw-judicial-543dbe7e63a8d7488097	OGDL-Taiwan-1.0	source_attributed			
金马地区役龄男子检定为已训乙种国民兵实施办法	金馬地區役齡男子檢定為已訓乙種國民兵實施辦法	Enforcement Regulations Governing the Eligible Male for Military Service to be Considered as Trained Class B Militiaman in Kinmen-Matsu Region	jin1 ma3 di4 qu1 yi4 ling2 nan2 zi5 jian3 ding4 wei4 yi3 xun4 yi3 zhong3 guo2 min2 bing1 shi2 shi1 ban4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:841	tw-judicial-9900df819728170b8172	OGDL-Taiwan-1.0	source_attributed			
鉴定人休息室	鑑定人休息室	Expert Witness Lounge	jian4 ding4 ren2 xiu1 xi1 shi4	unclassified	待核查	TW	unclassified	民事廳		tw-judicial:2105	tw-judicial-cbb8786c6ea0fe68e4fc	OGDL-Taiwan-1.0	source_attributed			
银元	銀元	ying yuan,1 ying yuan=3 NT$	yin2 yuan2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1772	tw-judicial-0df8aaaf45fd9189ebb3	OGDL-Taiwan-1.0	source_attributed			
银行法	銀行法	The Banking Act of The Republic of China	yin2 hang2 fa3	finance	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1773	tw-judicial-8be06b79d13b9dbde90f	OGDL-Taiwan-1.0	source_attributed			
销售凭证	銷售憑証	sales voucher	xiao1 shou4 ping2 zheng4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1865	tw-judicial-f74682799d95f066e12f	OGDL-Taiwan-1.0	source_attributed			
销售货物或劳务	銷售貨物或勞務	sale of goods or services	xiao1 shou4 huo4 wu4 huo4 lao2 wu4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1864	tw-judicial-169012f8029b3fdcbaca	OGDL-Taiwan-1.0	source_attributed			
销售额	銷售額	sales amount for VAT purposes	xiao1 shou4 e2	tax	CN	INTERNATIONAL	term	中华人民共和国增值税法（2024通过）	第十七条的销售额是增值税计税概念，不宜直接等同于会计收入或合同标价。	oll-cn-tax-trade:cn-vat-sales-amount	cn-vat-sales-amount	CC-BY-4.0	project_authored	纳税人发生应税交易取得的相关全部价款，包括货币和非货币形式经济利益对应的价款，但不包括法律明确排除的增值税税额。	项目释译，非官方译文；for VAT purposes 用于提示该概念具有税法口径。	中华人民共和国增值税法（2024通过） 第17条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html
销项税额	銷項稅額	output VAT	xiao1 xiang4 shui4 e2	tax	CN	INTERNATIONAL	term	中华人民共和国增值税法（2024通过）	一般计税方法下，应纳税额原则上由当期销项税额抵扣当期进项税额后的余额确定。	oll-cn-tax-trade:cn-vat-output-tax	cn-vat-output-tax	CC-BY-4.0	project_authored	纳税人发生应税交易时，按照销售额乘以适用增值税税率计算的增值税税额。	项目释译，非官方译文；output VAT 对应销项税额，强调销售端计算税额。	中华人民共和国增值税法（2024通过） 第14,16条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html
